Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-28 00:00:00+05:30,4265.874606836006,4275.791963265131,4189.627081737185,4257.203125,197155,0.0,0.0
2023-07-31 00:00:00+05:30,4267.918004114384,4335.643947339015,4192.766939694468,4250.67529296875,613254,0.0,0.0
2023-08-01 00:00:00+05:30,4211.155962610853,4599.76907487465,4211.056195307779,4539.3193359375,1142911,0.0,0.0
2023-08-02 00:00:00+05:30,4534.983501545876,4593.788782115372,4455.995052645324,4573.20703125,451482,0.0,0.0
2023-08-03 00:00:00+05:30,4548.488837312982,4656.581117203657,4450.313914358238,4488.78662109375,274815,0.0,0.0
2023-08-04 00:00:00+05:30,4508.96923707409,4533.986494445535,4451.7587771908065,4490.97900390625,98925,0.0,0.0
2023-08-07 00:00:00+05:30,4355.577413864318,4441.293582649749,4330.709563252275,4390.1630859375,272418,0.0,0.0
2023-08-08 00:00:00+05:30,4413.2862501923855,4488.387665597228,4395.445423923561,4462.5732421875,117440,0.0,0.0
2023-08-09 00:00:00+05:30,4456.243878837174,4486.144866617338,4430.329689427698,4446.875,75190,0.0,0.0
2023-08-10 00:00:00+05:30,4446.028305469169,4465.015240593147,4375.661207436646,4395.29638671875,153363,0.0,0.0
2023-08-11 00:00:00+05:30,4405.412452037128,4477.623536331745,4388.966907815722,4456.0947265625,73883,0.0,0.0
2023-08-14 00:00:00+05:30,4456.094924496267,4479.517367306541,4393.452251391004,4467.65673828125,122038,0.0,0.0
2023-08-16 00:00:00+05:30,4467.656496828836,4515.298544961926,4423.602178064625,4476.72607421875,99653,0.0,0.0
2023-08-17 00:00:00+05:30,4484.949038974457,4484.949038974457,4403.0206170322745,4430.62890625,102032,0.0,0.0
2023-08-18 00:00:00+05:30,4431.625531676479,4453.35387640404,4354.48107483751,4400.2294921875,98941,0.0,0.0
2023-08-21 00:00:00+05:30,4385.478253914571,4472.340526996229,4370.627527161397,4447.92138671875,82346,0.0,0.0
2023-08-22 00:00:00+05:30,4447.921308425941,4495.115131138916,4439.399721636792,4474.88232421875,110271,0.0,0.0
2023-08-23 00:00:00+05:30,4482.307715885423,4539.8671204446255,4446.277121014781,4498.85302734375,135623,0.0,0.0
2023-08-24 00:00:00+05:30,4508.5709362433845,4549.933972355709,4495.115490761062,4529.55126953125,142725,0.0,0.0
2023-08-25 00:00:00+05:30,4519.036400889239,4534.983595951928,4481.7098027777265,4492.57421875,62971,0.0,0.0
2023-08-28 00:00:00+05:30,4525.016362123206,4533.93701856225,4475.181380161497,4494.5673828125,53979,0.0,0.0
2023-08-29 00:00:00+05:30,4519.036327327608,4632.660090299674,4505.082531874898,4609.63623046875,452419,0.0,0.0
2023-08-30 00:00:00+05:30,4624.686913056298,4651.2488644794375,4593.689453007671,4611.68017578125,161993,0.0,0.0
2023-08-31 00:00:00+05:30,4619.702739967296,4635.948749109859,4572.708450205352,4589.65234375,215937,0.0,0.0
2023-09-01 00:00:00+05:30,4594.735839847534,4609.785615533518,4530.996701262833,4583.97119140625,95140,0.0,0.0
2023-09-04 00:00:00+05:30,4593.988360749856,4609.736021029466,4521.129516791631,4541.81103515625,101519,0.0,0.0
2023-09-05 00:00:00+05:30,4558.953887530144,4623.689725148771,4544.950451967751,4590.15087890625,94875,0.0,0.0
2023-09-06 00:00:00+05:30,4614.719330241646,4708.608630937355,4537.076525669369,4670.63427734375,250304,0.0,0.0
2023-09-07 00:00:00+05:30,4669.537658977802,4707.362603732824,4645.666508721325,4670.88330078125,69512,0.0,0.0
2023-09-08 00:00:00+05:30,4679.953588607054,4708.658343996218,4634.653394630346,4647.0625,73909,0.0,0.0
2023-09-11 00:00:00+05:30,4648.607069820454,4693.45855312704,4623.889113688276,4669.58740234375,84625,0.0,0.0
2023-09-12 00:00:00+05:30,4675.567993451054,4693.458947965213,4475.231351161607,4491.12890625,121853,0.0,0.0
2023-09-13 00:00:00+05:30,4515.0496533618825,4537.275862064826,4442.340215379899,4461.32763671875,138105,0.0,0.0
2023-09-14 00:00:00+05:30,4475.181473530981,4554.917446333315,4455.247480330398,4525.4150390625,82502,0.0,0.0
2023-09-15 00:00:00+05:30,4544.651776849465,4564.884585913883,4498.105706600295,4528.5546875,50181,0.0,0.0
